194908659,81656,0.0,0.0,0.0,0.45,0.81,0.0,0.009009939089057617,1.0,306,False,True,False,True,0,6916675.662921348,True
358101059,37040,0.15,0.0,0.18,4.62,1.41,0.42,0.00013252054068380598,0.86,379,False,True,False,True,23,65288785.00346962,True
17187236,371646,0.36,0.6,0.05,3.04,2.51,0.64,0.0564186039908958,0.68,1738,True,True,False,True,20070,202854.42582197272,True
456177793,70616,0.11,0.05,0.02,249.65,40.38,0.54,0.000269973195518445,0.78,1337,True,False,False,True,2536,2437775513.5132265,True
2319314323,168240,0.08,0.82,0.0,0.76,0.77,0.09,0.38151979951829784,0.94,233,False,False,False,True,41,28659744730.035046,True
92985467,10518,0.01,0.04,0.04,368.13,186.1,0.66,0.39925586239333466,0.09,1989,True,True,False,True,10370,141022435.68304121,True
1375507088,42977,0.1,0.26,0.02,152.23,11539.88,0.15,0.4531639602535634,0.07,190,False,True,False,True,455,12936194762.954136,True
466573221,165414,0.17346938775510204,0.5714285714285714,0.15306122448979592,15.551020408163266,15130.0,0.6122448979591837,0.08708054875160019,0.21428571428571427,118,False,True,False,False,1491,95671107.62143873,True
1587974648,10298,0.0,0.0,0.0,0.03,0.0,0.0,0.03958620114295249,1.0,5,False,False,False,True,4,8863464127.737015,True
538949379,89417,0.0,0.42,0.08,11.14,0.73,0.0,0.0001447833745787206,0.83,389,True,False,False,True,137,262626.59395296755,True
1499232864,221732,0.06,0.0,0.0,0.29,1.09,0.97,1.0071756114130435,0.03,62,False,False,False,True,6328,249065.29384098545,True
527506722,108324,0.04,0.99,0.0,5.56,2.89,0.08,0.0003443760003880293,0.97,455,False,False,False,True,1770,459463.5456417296,True
29820945,141986,0.0,0.0,0.0,0.98,0.11,0.0,0.010749251222312984,1.0,304,True,True,False,True,1356,3076.8140960163432,True
892792496,337218,0.04,2.32,0.0,0.9,0.49,0.12,0.08897587431936163,0.94,508,False,True,False,True,6329,35438.75268817204,True
223116969,170907,0.0,0.0,0.0,1.7,0.27,0.0,0.8616263059852596,1.0,1573,False,False,False,True,0,10.215625714939373,True
218697713,310508,0.48,0.96,0.06,0.27,118.22,1.25,0.912288273771844,0.54,1874,False,True,False,True,7155,469524.18653576437,True
547977614,429245,0.0,1.21,0.0,0.35,0.08,0.36,0.792479184925504,0.98,435,False,False,False,False,185,1072.196336996337,True
73725383,98892,0.97,0.02,0.0,0.02,7.59,1.13,1.091983561358789,0.84,1900,False,True,False,True,51,1704671.034266517,True
55432787,89819,0.09,0.03,0.08,5.18,2.29,0.17,0.13036724901574803,0.89,1090,True,True,False,True,2307,1064610.0353863381,True
2257879993,51388,0.0,2.0,0.0,10.44,1.97,0.0,0.00012594336423789733,1.0,122,False,False,False,True,94,819179.1619415807,True
2652608395,84536,0.31,0.36,0.06,17.05,201.67,0.77,0.5437223988454987,0.1,85,False,True,False,True,977,7878648.286433311,True
4307623643,19,0.0,0.7777777777777778,0.0,3.4444444444444446,8.166666666666666,0.2222222222222222,0.04,0.8888888888888888,0,False,False,False,True,4,913295319.2095239,True
59329469,68592,0.0,0.0,0.0,14.23,32.36,0.0,1.722756755359927e-05,1.0,8619,False,False,False,True,0,49178026.30046551,True
581662807,129337,0.0,0.03,0.0,0.0,0.01,0.11,0.38664951975244144,1.33,60,False,False,False,True,25,64382695.41718944,True
224084191,155311,0.0,3.38,0.0,0.33,0.33,0.0,0.9696630932347992,0.97,196,False,False,False,True,289,711386.3545352744,True
1243573092,81030,0.71,0.47,0.13,4.63,3037.7,1.41,0.015294861882336403,0.35,328,False,False,False,True,15606,136336294.19857398,True
1701373465,162412,1.0,0.0707070707070707,0.0,0.0,966.030303030303,1.0,1.1642817724647707,0.0,106,False,False,False,True,7472,106889020.71601345,True
3151691953,98677,0.12,0.04,0.03,0.61,12.79,0.84,0.010825439783491205,0.04,24,False,True,False,True,68747,31095.00515350877,True
1401891498,39832,0.05,1.02,0.0,0.41,11.61,0.14,0.023480463571812944,0.03,34,False,True,False,True,79,489681489.0239345,True
564631124,71652,0.47474747474747475,1.0909090909090908,0.0,36.57575757575758,10.83838383838384,0.6161616161616161,0.02763498967532182,0.26262626262626265,621,False,True,False,True,6748,8813.056907894737,True
1570434660,27580,0.12,0.25,0.0,0.19,0.85,0.45,0.00201193442922792,0.34,45,False,False,False,False,23,358999429.4071262,True
2869378818,452625,1.0,2.1122448979591835,0.01020408163265306,0.0,35.13265306122449,1.0612244897959184,1.0967159137072118,0.11224489795918367,760,False,True,False,True,5557,4891442606.024548,True
